dai 1336
    1.000000   0.000000
    0.986287   0.002488
    0.965777   0.006260
    0.937702   0.011922
    0.907191   0.018591
    0.877396   0.025597
    0.847644   0.033060
    0.817660   0.040916
    0.787355   0.049097
    0.756693   0.057480
    0.726021   0.065844
    0.695705   0.074042
    0.665797   0.081920
    0.636258   0.089326
    0.607028   0.096161
    0.578045   0.102341
    0.549255   0.107798
    0.520595   0.112468
    0.491981   0.116314
    0.463331   0.119328
    0.434608   0.121525
    0.405825   0.122916
    0.377027   0.123499
    0.348261   0.123268
    0.319579   0.122213
    0.291037   0.120320
    0.262695   0.117576
    0.234642   0.113963
    0.206987   0.109460
    0.179873   0.104041
    0.153471   0.097670
    0.127974   0.090303
    0.103627   0.081937
    0.080805   0.072632
    0.060016   0.062516
    0.041848   0.051813
    0.026859   0.040932
    0.015450   0.030409
    0.007608   0.020713
    0.002862   0.012301
    0.000590   0.005347
    0.000002  -0.000257
    0.000697  -0.004765
    0.002298  -0.008562
    0.004834  -0.011728
    0.008843  -0.014517
    0.015591  -0.017185
    0.027045  -0.019817
    0.044541  -0.021990
    0.067625  -0.023345
    0.094373  -0.023834
    0.123249  -0.023591
    0.153291  -0.022822
    0.184012  -0.021675
    0.215148  -0.020271
    0.246544  -0.018686
    0.278110  -0.016973
    0.309796  -0.015166
    0.341581  -0.013295
    0.373451  -0.011385
    0.405379  -0.009458
    0.437252  -0.007554
    0.469055  -0.005685
    0.500780  -0.003869
    0.532434  -0.002143
    0.564029  -0.000516
    0.595555   0.001001
    0.626994   0.002377
    0.658349   0.003584
    0.689625   0.004600
    0.720824   0.005405
    0.751941   0.005976
    0.782972   0.006292
    0.813925   0.006323
    0.844826   0.006051
    0.875739   0.005460
    0.906885   0.004547
    0.938180   0.003313
    0.965795   0.001981
    0.986142   0.000822
    1.000000   0.000000
